province,city,theaterId,theaterName,screens,seats,screenFilm,screen2D,screen3D,screen4D,screenImax,isSpecialScreen,theaterAddr,theaterPhone,theaterUrl,latitude,longitude
충청북도,청주시,004017,CGV 청주(서문),10,"1,821",0,10,3,0,0,TRUE,충청북도 청주시 상당구 서문동 29-2 번지,1544-1122,http://www.cgv.co.kr/,36.6350000,127.4869444
서울시,송파구,001224,롯데시네마 월드타워,18,"4,204",0,18,6,1,0,TRUE,"서울특별시 송파구 신천동 29 번지 신천동, 엔터동롯데시네마(5~11F)",1544-8855,http://www.lottecinema.co.kr/,37.5139545,127.1049251
서울시,강남구,001003,메가박스 코엑스,20,"3,447",0,20,3,0,0,TRUE,서울특별시 강남구 삼성동 159 번지,1544-0070,http://www.megabox.co.kr/,37.5124505,127.0587935
서울시,서대문구,001282,라이카시네마,1,40,0,1,0,0,0,FALSE,서울특별시 서대문구 연희동 194-25 번지 스페이스독 지하1층,070-7780-0963,www.laikacinema.com,37.5652422,126.9308350
서울시,용산구,001088,CGV 용산아이파크몰,23,"5,441",0,22,7,1,1,TRUE,서울특별시 용산구 한강로3가 40-999 번지 아이파크몰 6층,1544-1122,http://www.cgv.co.kr/,37.5301199,126.9651948
서울시,서대문구,001205,CGV 신촌아트레온,8,"1,301",0,10,5,1,0,TRUE,서울특별시 서대문구 창천동 20-25 번지,1544-1122,,37.5564878,126.9403257
강원도,춘천시,003039,CGV 춘천,12,"1,714",0,14,5,0,1,TRUE,강원도 춘천시 퇴계동 1017 번지,1544-1122,www.cgv.co.kr,37.8504250,127.7438915
부산시,금정구,011057,롯데시네마 오투(부산대),7,"1,049",0,7,2,0,0,TRUE,부산광역시 금정구 부곡동 298-2 번지,1544-8855,,35.2283065,129.0898358
부산시,중구,011054,롯데시네마 광복,10,"2,369",0,10,4,1,0,TRUE,부산광역시 중구 중앙동7가 20-1 번지 시네마동 9층,1544-8855,http://www.lottecinema.co.kr/,35.0974963,129.0364371
부산시,부산진구,011007,CGV 서면,13,"2,480",3,13,7,1,1,TRUE,부산광역시 부산진구 전포동 892-20 번지 지오플레이스 5층,1544-1122,http://www.cgv.co.kr,35.1492915,129.0637629
서울시,영등포구,001034,CGV 여의도,9,"1,133",0,9,9,1,0,TRUE,서울특별시 영등포구 여의도동 23 번지 국제금융센터 지하3층,1544-1122,http://www.cgv.co.kr/,37.5253465,126.9260431
강원도,강릉시,003043,강릉독립예술극장 신영,1,111,1,1,0,0,0,FALSE,강원도 강릉시 임당동 119-3 번지,033-645-7415,,37.7547654,128.8966476
서울시,마포구,001146,KT&G 상상마당 Cinema,1,76,1,1,0,0,0,FALSE,서울특별시 마포구 서교동 367-5 번지 상상마당빌딩 지하 4층,02-330-6243,https://www.sangsangmadang.com,37.5509120,126.9211270
서울시,종로구,001227,낭만극장,1,286,0,1,0,0,0,FALSE,서울특별시 종로구 낙원동 288 번지 낙원상가 4층,02-3672-4232,,37.5728323,126.9880012
경기도,안산시,002211,명화극장,1,199,0,1,0,0,0,FALSE,경기도 안산시 단원구 고잔동 541-1 번지,031-480-3827,,37.3171561,126.8389793
서울시,종로구,001103,허리우드클래식,1,300,1,1,0,0,0,FALSE,서울 종로구 낙원동 284-6 낙원상가4층,02-3672-4232,,37.5728323,126.9880012
서울시,중구,001163,CGV 명동역 씨네라이브러리,5,694,2,5,2,0,0,TRUE,서울특별시 중구 충무로2가 65-9 번지 하이해리엇 10층,1544-1122,http://www.cgv.co.kr,37.5612531,126.9853134
서울시,강남구,001111,CGV 압구정,6,898,3,6,4,0,0,TRUE,서울특별시 강남구 신사동 602 번지,1544-1122,http://www.cgv.co.kr,37.5244988,127.0288659
경기도,성남시,002010,CGV 오리,10,"1,570",1,10,5,0,0,TRUE,경기도 성남시 분당구 구미동 159 번지 월드쇼핑 4층,1544-1122,http://www.cgv.co.kr,37.3407173,127.1067886
충청남도,천안시,005053,인디플러스 천안,1,50,0,1,0,0,0,FALSE,충청남도 천안시 동남구 문화동 101-2 번지 천안시 영상미디어센터,041-415-0098,,36.8086466,127.1522022
인천시,남동구,015005,CGV 인천,14,"2,788",0,14,8,1,1,TRUE,인천광역시 남동구 구월동 1130 번지 씨앤씨빌딩 4층,1544-1122,http://www.cgv.co.kr,37.4517662,126.7019164
대전시,동구,013019,대전아트시네마,1,138,1,1,0,0,0,FALSE,대전광역시 동구 중동 27-11 번지 3층,042-472-1138,,36.3301374,127.4304045
부산시,해운대구,011038,롯데시네마 센텀시티(백화점),9,"1,712",0,9,5,0,0,TRUE,부산광역시 해운대구 우동 1496 번지 롯데백화점 8층,1544-8855,http://www.lottecinema.co.kr/,35.1697094,129.1314073
서울시,광진구,001016,CGV 강변,12,"1,666",1,12,5,1,0,TRUE,서울특별시 광진구 구의동 546-4 번지 테크노마트 10층,1544-1122,http://www.cgv.co.kr/,37.5357774,127.0952202
인천시,동구,015044,인천미림극장,1,253,1,1,0,0,0,FALSE,인천광역시 동구 송현동 92-7 번지,032-764-6920,,37.4754405,126.6342877
서울시,서대문구,001149,필름포럼,2,142,0,2,0,0,0,FALSE,서울특별시 서대문구 대신동 85 번지 하늬솔빌딩 지하 1층,02-363-2537,,37.5637568,126.9441118
서울시,구로구,001217,롯데시네마 신도림,5,560,0,5,2,0,0,TRUE,"서울특별시 구로구 신도림동 692 번지 디큐브시티 제타워동 7,8층 일부",1544-8855,www.lottecinema.co.kr,37.5086173,126.8894539
서울시,중구,001062,서울아트시네마,1,230,1,1,0,0,0,FALSE,서울특별시 중구 정동 22 번지 경향아트힐 2층,02-741-9782,http://,37.5680461,126.9695874
광주시,동구,016013,광주극장,1,856,1,1,0,0,0,FALSE,광주광역시 동구 충장로5가 62,062-224-5858,http://,35.1497968,126.9124823
서울시,마포구,001193,인디스페이스,1,186,0,1,0,0,0,FALSE,서울특별시 마포구 동교동 166-14 번지 동교동 스타피카소 8층,02-738-0366,http://indiespace.kr/,37.5572099,126.9249716
서울시,성북구,001098,아리랑시네센터(서울),3,472,0,3,2,0,0,TRUE,서울특별시 성북구 돈암동 538-98 번지,02-3291-5540,http://cine.arirang.go.kr/,37.6002383,127.0139101
서울시,광진구,001166,KU시네마테크,1,152,1,1,0,0,0,FALSE,서울특별시 광진구 화양동 1 번지 건국대학교 예술디자인대학 B108호 KU시네마테크,02-446-6579,www.kucine.kr,37.5428904,127.0730700
인천시,남구,015035,영화공간주안,4,496,0,4,0,0,0,FALSE,인천광역시 남구 주안동 166-1 번지,032-867-9168,http://www.cinespacejuan.com/,37.4612410,126.6805888
