movieId,movieTitle,audience,screen,screening,movieRelease,movieGenre,movieNation,movieGrade,movieRuntime,movieScore,peopleVoted,movieDirector,movieActors,moviePlot,movieDirector_tokens,movieActors_tokens,movieTitle_tokens,moviePlot_tokens
1,서울의 봄,"12,946,190","2,463","354,761",2023-11-22,드라마,한국,12세이상관람가,141,9.54,"2,722",김성수,"황정민,정우성,이성민,박해준,김성균,김의성,정동환,안내상,유성주,최병모,박훈,이재윤,김성오,남윤호,홍서준,안세호,정형석,박정학,박원상,박민이,염동헌,전진기,차래형,공재민,권혁,한창현,송영근,전수지,서광재,임철형,현봉식,곽자형,전운종,이승희,김기무,문성복,김옥주,박정표,곽진석,한규원,우미화,차건우,최원경,정만식,정해인,이준혁,우아름,김지원","1979년 12월 12일, 수도 서울 군사반란 발생 그날, 대한민국의 운명이 바뀌었다 대한민국을 뒤흔든 10월 26일 이후, 서울에 새로운 바람이 불어온 것도 잠시 12월 12일, 보안사령관 전두광이 반란을 일으키고 군 내 사조직을 총동원하여 최전선의 전방부대까지 서울로 불러들인다. 권력에 눈이 먼 전두광의 반란군과 이에 맞선 수도경비사령관 이태신을 비롯한 진압군 사이, 일촉즉발의 9시간이 흘러가는데… 목숨을 건 두 세력의 팽팽한 대립 오늘 밤, 대한민국 수도에서 가장 치열한 전쟁이 펼쳐진다!",['김성수'],"['황정민', '정우성', '이성민', '박해준', '김성균', '김의성', '정동환', '안내상', '유성주', '최병모', '박훈', '이재윤', '김성오', '남윤호', '홍서준', '안세호', '정형석', '박정학', '박원상', '박민이', '염동헌', '전진기', '차래형', '공재민', '권혁', '한창현', '송영근', '전수지', '서광재', '임철형', '현봉식', '곽자형', '전운종', '이승희', '김기무', '문성복', '김옥주', '박정표', '곽진석', '한규원', '우미화', '차건우', '최원경', '정만식', '정해인', '이준혁', '우아름', '김지원']","['서울', '의', '봄']","['1979년', '12월', '12일', '수도', '서울', '군사', '반란', '발생', '그날', '대한민국', '의', '운명', '이', '바뀌었다', '대한민국', '을', '뒤', '흔든', '10월', '26일', '이후', '서울', '에', '새로운', '바람', '이', '불어온', '것', '도', '잠시', '12월', '12일', '보안사령관', '전', '두', '광', '이', '반란', '을', '일으키고', '군', '내', '사', '조직', '을', '총동원', '하여', '최전선', '의', '전', '방부', '대', '까지', '서울', '로', '불러', '들인다', '권력', '에', '눈', '이', '먼', '전', '두', '광', '의', '반란', '군', '과', '이', '에', '맞선', '수도', '경비', '사령관', '이태', '신', '을', '비롯', '한', '진압군', '사이', '일촉즉발', '의', '9시간', '이', '흘러가는데', '목숨', '을', '건', '두', '세력', '의', '팽팽', '한', '대립', '오늘', '밤', '대한민국', '수도', '에서', '가장', '치열한', '전쟁', '이', '펼쳐진다']"
2,범죄도시2,"12,693,415","2,521","355,768",2022-05-18,"범죄,액션",한국,15세이상관람가,106,8.99,"4,105",이상용,"마동석,손석구,최귀화,박지환,허동원,하준,정재광,남문철,박지영,이주원,음문석,김찬형,이규원,전진오,이다일,김영성,차우진,박광재,백승익,최재훈,우강민,강덕중,송요셉,서문호,한우열,권혁범,박은우,이도은,김이현,허승,이태규,최광희,권태호,권지훈,전재형,신재환,김원경,천준호,이원행,정수원,김희,이해원,정수일,김태욱,최형우,이시형,김서원,손승범,손상경,박주환,한상경,정우람,정명군,김운영,안재만,이관민,김승환,김무성,김병민,최형락,전국진,김동주,김영준,한상철,이명자,신재용,정동룡,오명진,김상욱,정수용,이광기,이재혁,김대근,선율우,김승현,전정일,백요섭,전찬원,황정윤,이창훈,곽장륜,조용환,김민규,정인기,윤병희,이병희","가리봉동 소탕작전 후 4년 뒤, 금천서 강력반은 베트남으로 도주한 용의자를 인도받아 오라는 미션을 받는다. 괴물형사 ‘마석도’(마동석)와 ‘전일만’(최귀화) 반장은 현지 용의자에게서 수상함을 느끼고, 그의 뒤에 무자비한 악행을 벌이는 ‘강해상’(손석구)이 있음을 알게 된다. ‘마석도’와 금천서 강력반은 한국과 베트남을 오가며 역대급 범죄를 저지르는 ‘강해상’을 본격적으로 쫓기 시작하는데... 나쁜 놈들 잡는 데 국경 없다! 통쾌하고 화끈한 범죄 소탕 작전이 다시 펼쳐진다!",['이상용'],"['마동석', '손석구', '최귀화', '박지환', '허동원', '하준', '정재광', '남문철', '박지영', '이주원', '음문석', '김찬형', '이규원', '전진오', '이다일', '김영성', '차우진', '박광재', '백승익', '최재훈', '우강민', '강덕중', '송요셉', '서문호', '한우열', '권혁범', '박은우', '이도은', '김이현', '허승', '이태규', '최광희', '권태호', '권지훈', '전재형', '신재환', '김원경', '천준호', '이원행', '정수원', '김희', '이해원', '정수일', '김태욱', '최형우', '이시형', '김서원', '손승범', '손상경', '박주환', '한상경', '정우람', '정명군', '김운영', '안재만', '이관민', '김승환', '김무성', '김병민', '최형락', '전국진', '김동주', '김영준', '한상철', '이명자', '신재용', '정동룡', '오명진', '김상욱', '정수용', '이광기', '이재혁', '김대근', '선율우', '김승현', '전정일', '백요섭', '전찬원', '황정윤', '이창훈', '곽장륜', '조용환', '김민규', '정인기', '윤병희', '이병희']","['범죄', '도시', '2']","['가리봉동', '소탕', '작전', '후', '4년', '뒤', '금천', '서', '강력반', '은', '베트남', '으로', '도주', '한', '용의자', '를', '인도', '받아', '오라', '는', '미션', '을', '받는다', '괴물', '형사', '마', '석도', '마동석', '와', '전일', '만', '최', '귀화', '반장', '은', '현지', '용의자', '에게서', '수상함을', '느끼고', '그', '의', '뒤', '에', '무자비한', '악행', '을', '벌이는', '강', '해상', '손', '석', '구이', '있', '음', '을', '알', '게', '된다', '마', '석도', '와', '금천', '서', '강력반', '은', '한국', '과', '베트남', '을', '오가며', '역대', '급', '범죄', '를', '저지르는', '강', '해상', '을', '본격', '적', '으로', '쫓기', '시작', '하는데', '나쁜', '놈', '들', '잡는', '데', '국경', '없다', '통쾌하고', '화끈한', '범죄', '소탕', '작전', '이', '다시', '펼쳐진다']"
3,아바타: 물의 길,"10,805,065","2,809","283,037",2022-12-14,"액션,어드벤처,SF,스릴러",미국,12세이상관람가,192,8.83,"4,943",제임스 카메론,"조 샐다나,샘 워싱턴,시고니 위버,스티븐 랭,케이트 윈슬렛","<아바타: 물의 길>은 판도라 행성에서 '제이크 설리'와 '네이티리'가 이룬 가족이 겪게 되는 무자비한 위협과 살아남기 위해 떠나야 하는 긴 여정과 전투, 그리고 견뎌내야 할 상처에 대한 이야기를 그렸다. 월드와이드 역대 흥행 순위 1위를 기록한 전편 <아바타>에 이어 제임스 카메론 감독이 13년만에 선보이는 영화로, 샘 워싱턴, 조 샐다나, 시고니 위버, 스티븐 랭, 케이트 윈슬렛이 출연하고 존 랜도가 프로듀싱을 맡았다.",['제임스 카메론'],"['조 샐다나', '샘 워싱턴', '시고니 위버', '스티븐 랭', '케이트 윈슬렛']","['아바타', '물의', '길']","['아바타', '물의', '길은', '판도라', '행성', '에서', '제이크', '설리', '와', '네이티', '리가', '이룬', '가족', '이', '겪게', '되는', '무자비한', '위협', '과', '살아남기', '위해', '떠나야', '하는', '긴', '여정', '과', '전투', '그리고', '견뎌내야', '할', '상처', '에', '대한', '이야기', '를', '그렸다', '월드', '와이드', '역대', '흥행', '순위', '1', '위', '를', '기록', '한', '전편', '아바타', '에', '이어', '제임스', '카메론', '감독', '이', '13년', '만에', '선보이는', '영화로', '샘', '워싱턴', '조', '샐다나', '시', '고니', '위버', '스티븐', '랭', '케이트', '윈슬렛', '이', '출연', '하고', '존', '랜도', '가', '프로듀싱', '을', '맡았다']"
4,범죄도시3,"10,682,813","2,582","311,915",2023-05-31,"범죄,액션",한국,15세이상관람가,105,7.69,"1,868",이상용,"정호진,마동석,황순명,이준혁,아오키 무네타카,이범수,김민재,이지훈,김도건,고규필,전석호,안세호,한규원,최우준,최동구,이세호,이태규,배누리,최광제,심영은,김기호,고건한,신현용,쿠니무라 준,박지환,윤상돈,김지수,박혜영,마동석,강윤,홍준영,류성현,유인혁,김원경,박상원,공대유,박준혁,공경배,김민,최원석,송이우,주혁,전아희,손지영,차재현,연예림,이혜지,박상남,이재성,이재혁,서문호,한기장,손인용,정미형,최춘범,이진한,김태윤,백남준,박태산,이충구,김소원,강희제,강한별,홍이주,배소영,서영진,손태오,남지우,신혜선,주예은,채건희,이정환,심하늘,김리우,장용희,최현도,김다솔,이명로,정우탁,정현옥,김세중,여성환,김영조,문경린,이형석,이찬희,김우현,류한종,손종복,이진희,김민준,이윤석,정수원,조국형,박현석,김민수,최광덕,이상원,임소현,이한솔,홍상우,정무성,강하나,최태주,김주희,손승훈,이문빈,정규영,전민정,임연빈,이호철,이동호,김병탁","대체불가 괴물형사 마석도, 서울 광수대로 발탁! 베트남 납치 살해범 검거 후 7년 뒤, ‘마석도’(마동석)는 새로운 팀원들과 함께 살인사건을 조사한다. 사건 조사 중, ‘마석도’는 신종 마약 사건이 연루되었음을 알게 되고 수사를 확대한다. 한편, 마약 사건의 배후인 '주성철'(이준혁)은 계속해서 판을 키워가고 약을 유통하던 일본 조직과 '리키'(아오키 무네타카)까지 한국에 들어오며 사건의 규모는 점점 더 커져가는데... 나쁜 놈들 잡는 데 이유 없고 제한 없다. 커진 판도 시원하게 싹 쓸어버린다!",['이상용'],"['정호진', '마동석', '황순명', '이준혁', '아오키 무네타카', '이범수', '김민재', '이지훈', '김도건', '고규필', '전석호', '안세호', '한규원', '최우준', '최동구', '이세호', '이태규', '배누리', '최광제', '심영은', '김기호', '고건한', '신현용', '쿠니무라 준', '박지환', '윤상돈', '김지수', '박혜영', '마동석', '강윤', '홍준영', '류성현', '유인혁', '김원경', '박상원', '공대유', '박준혁', '공경배', '김민', '최원석', '송이우', '주혁', '전아희', '손지영', '차재현', '연예림', '이혜지', '박상남', '이재성', '이재혁', '서문호', '한기장', '손인용', '정미형', '최춘범', '이진한', '김태윤', '백남준', '박태산', '이충구', '김소원', '강희제', '강한별', '홍이주', '배소영', '서영진', '손태오', '남지우', '신혜선', '주예은', '채건희', '이정환', '심하늘', '김리우', '장용희', '최현도', '김다솔', '이명로', '정우탁', '정현옥', '김세중', '여성환', '김영조', '문경린', '이형석', '이찬희', '김우현', '류한종', '손종복', '이진희', '김민준', '이윤석', '정수원', '조국형', '박현석', '김민수', '최광덕', '이상원', '임소현', '이한솔', '홍상우', '정무성', '강하나', '최태주', '김주희', '손승훈', '이문빈', '정규영', '전민정', '임연빈', '이호철', '이동호', '김병탁']","['범죄', '도시', '3']","['대체', '불가', '괴물', '형사', '마', '석도', '서울', '광수', '대로', '발탁', '베트남', '납치', '살해', '범', '검거', '후', '7년', '뒤', '마', '석도', '마동석', '는', '새로운', '팀원', '들', '과', '함께', '살인', '사건', '을', '조사', '한', '다', '사건', '조사', '중', '마', '석도', '는', '신종', '마약', '사건', '이', '연루', '되었음', '을', '알', '게', '되고', '수사', '를', '확대', '한', '다', '한편', '마약', '사건', '의', '배후', '인', '주성철', '이준혁', '은', '계속', '해서', '판', '을', '키워가고', '약', '을', '유통', '하던', '일본', '조직', '과', '리키', '아오키', '무', '네', '타카', '까지', '한국', '에', '들어오며', '사건', '의', '규모', '는', '점점', '더', '커져가는데', '나쁜', '놈', '들', '잡는', '데', '이유', '없고', '제한', '없다', '커진', '판도', '시원하게', '싹', '쓸어', '버린다']"
5,탑건: 매버릭,"8,226,520","1,975","252,806",2022-06-22,액션,미국,12세이상관람가,130,9.59,"7,547",조셉 코신스키,"톰 크루즈,마일즈 텔러,제니퍼 코넬리,존 햄,에드 해리스,글렌 포웰,제이 엘리스,그렉 타잔 데이비스,찰스 파렐,장 루이자 켈리,대니 라미레즈",최고의 파일럿이자 전설적인 인물 매버릭(톰 크루즈)은 자신이 졸업한 훈련학교 교관으로 발탁된다. 그의 명성을 모르던 팀원들은 매버릭의 지시를 무시하지만 실전을 방불케 하는 상공 훈련에서 눈으로 봐도 믿기 힘든 전설적인 조종 실력에 모두가 압도된다. 매버릭의 지휘아래 견고한 팀워크를 쌓아가던 팀원들에게 국경을 뛰어넘는 위험한 임무가 주어지자 매버릭은 자신이 가르친 동료들과 함께 마지막이 될 지 모를 하늘 위 비행에 나서는데…,['조셉 코신스키'],"['톰 크루즈', '마일즈 텔러', '제니퍼 코넬리', '존 햄', '에드 해리스', '글렌 포웰', '제이 엘리스', '그렉 타잔 데이비스', '찰스 파렐', '장 루이자 켈리', '대니 라미레즈']","['탑건', '매버릭']","['최고', '의', '파일럿', '이자', '전설', '적', '인', '인물', '매버릭톰', '크루즈', '은', '자신', '이', '졸업', '한', '훈련', '학교', '교관', '으로', '발탁', '된다', '그', '의', '명성', '을', '모르던', '팀원', '들', '은', '매버릭', '의', '지시', '를', '무시', '하', '지만', '실전', '을', '방불', '케', '하는', '상공', '훈련', '에서', '눈', '으로', '봐도', '믿기', '힘든', '전설', '적', '인', '조종', '실력', '에', '모두', '가', '압도', '된다', '매버릭', '의', '지휘', '아래', '견고한', '팀워크', '를', '쌓아가던', '팀원', '들', '에게', '국경', '을', '뛰어넘는', '위험한', '임무', '가', '주어지자', '매버릭', '은', '자신', '이', '가르친', '동료', '들', '과', '함께', '마지막', '이', '될', '지', '모를', '하늘', '위', '비행', '에', '나서는데']"
6,한산: 용의 출현,"7,266,340","2,223","217,777",2022-07-27,"액션,드라마",한국,12세이상관람가,129,8.54,"4,185",김한민,"박해일,이지영,김시국,이정태,변요한,안성기,손현주,김성규,김성균,김향기,옥택연,공명,박지환,조재윤,윤제문,박훈,윤진영,김강일,박재민,이서준,김민재,김재영,김구택,손경원,안성봉,이운산,김영웅,공정환,배현성,김대명,정예훈,김한민,김기호,김기환,강신구,김영탁,김공,이재한,정제우,정연,윤대열,김리우,김현태,현봉식,김범석,고한민,문승배,강덕중,서상원,김영찬,배명진,곽민호,정준화,황무영,안태준,이의령,안치욱,강병욱,김호연,김태근,고기영,홍윤,박선교,김동훈,서세명,박형준,이진민,이규탁,남현우,윤상원,이지운,문바롬,김태희,김동현,김우현,남상우,김현승,양동혁,오누리,한봄,박재이,김진희,강리안,강보라,김지아,이다혜,김효주,한송희,한상경,김진형,오지훈,이루겸,최홍락,방병현,황성웅,김이담,김경태,김건보,이동빈,유건기,위민국,정동근,최돈학,권용덕,김용준,김한솔,김현우,강성락,이종욱,윤상영,김영호,이건록,장한솔,정현옥,이단,백태민,현직,손대민,김무섭,한동국,황민혁,조현수,김서준,채강,엄기영,손수호,이상호,민주호,오창후,김형석,구본혁,우혁,김명곤,문숙,이준혁,윤승훈,박혜영,허중회,이보영,윤현승","1592년 4월, 조선은 임진왜란 발발 후 단 15일 만에 왜군에 한양을 빼앗기며 절체절명의 위기에 놓인다. 조선을 단숨에 점령한 왜군은 명나라로 향하는 야망을 꿈꾸며 대규모 병역을 부산포로 집결시킨다. 한편, 이순신 장군은 연이은 전쟁의 패배와 선조마저 의주로 파천하며 수세에 몰린 상황에서도 조선을 구하기 위해 전술을 고민하며 출전을 준비한다. 하지만 앞선 전투에서 손상을 입은 거북선의 출정이 어려워지고, 거북선의 도면마저 왜군의 첩보에 의해 도난 당하게 되는데… 왜군은 연승에 힘입어 그 우세로 한산도 앞바다로 향하고, 이순신 장군은 조선의 운명을 가를 전투를 위해 필사의 전략을 준비한다. 1592년 여름, 음력 7월 8일 한산도 앞바다, 압도적인 승리가 필요한 조선의 운명을 건 지상 최고의 해전이 펼쳐진다.",['김한민'],"['박해일', '이지영', '김시국', '이정태', '변요한', '안성기', '손현주', '김성규', '김성균', '김향기', '옥택연', '공명', '박지환', '조재윤', '윤제문', '박훈', '윤진영', '김강일', '박재민', '이서준', '김민재', '김재영', '김구택', '손경원', '안성봉', '이운산', '김영웅', '공정환', '배현성', '김대명', '정예훈', '김한민', '김기호', '김기환', '강신구', '김영탁', '김공', '이재한', '정제우', '정연', '윤대열', '김리우', '김현태', '현봉식', '김범석', '고한민', '문승배', '강덕중', '서상원', '김영찬', '배명진', '곽민호', '정준화', '황무영', '안태준', '이의령', '안치욱', '강병욱', '김호연', '김태근', '고기영', '홍윤', '박선교', '김동훈', '서세명', '박형준', '이진민', '이규탁', '남현우', '윤상원', '이지운', '문바롬', '김태희', '김동현', '김우현', '남상우', '김현승', '양동혁', '오누리', '한봄', '박재이', '김진희', '강리안', '강보라', '김지아', '이다혜', '김효주', '한송희', '한상경', '김진형', '오지훈', '이루겸', '최홍락', '방병현', '황성웅', '김이담', '김경태', '김건보', '이동빈', '유건기', '위민국', '정동근', '최돈학', '권용덕', '김용준', '김한솔', '김현우', '강성락', '이종욱', '윤상영', '김영호', '이건록', '장한솔', '정현옥', '이단', '백태민', '현직', '손대민', '김무섭', '한동국', '황민혁', '조현수', '김서준', '채강', '엄기영', '손수호', '이상호', '민주호', '오창후', '김형석', '구본혁', '우혁', '김명곤', '문숙', '이준혁', '윤승훈', '박혜영', '허중회', '이보영', '윤현승']","['한산', '용의', '출현']","['1592년', '4월', '조선', '은', '임진왜란', '발발', '후', '단', '15일', '만에', '왜군', '에', '한양', '을', '빼앗기며', '절체절명', '의', '위기', '에', '놓인다', '조선', '을', '단숨', '에', '점령', '한', '왜군', '은', '명나라', '로', '향', '하는', '야망', '을', '꿈꾸며', '대규모', '병역', '을', '부산', '포로', '집결', '시킨다', '한편', '이순신', '장군', '은', '연', '이', '은', '전쟁', '의', '패배', '와', '선조', '마저', '의주로', '파천', '하며', '수', '세', '에', '몰린', '상황', '에서도', '조선', '을', '구', '하기', '위해', '전술', '을', '고민', '하며', '출전', '을', '준비', '한다', '하지만', '앞선', '전투', '에서', '손상', '을', '입은', '거북선', '의', '출정', '이', '어려워지고', '거북선', '의', '도면', '마저', '왜군', '의', '첩보', '에', '의해', '도난', '당하게', '되는데', '왜군', '은', '연승', '에', '힘', '입어', '그', '우세', '로', '한산도', '앞바다', '로', '향', '하고', '이순신', '장군', '은', '조선', '의', '운명', '을', '가를', '전투', '를', '위해', '필사', '의', '전략', '을', '준비', '한다', '1592년', '여름', '음력', '7월', '8일', '한산도', '앞바다', '압도', '적', '인', '승리', '가', '필요한', '조선', '의', '운명', '을', '건', '지상', '최고', '의', '해전', '이', '펼쳐진다']"
7,엘리멘탈,"7,238,453","1,664","247,169",2023-06-14,애니메이션,미국,전체관람가,109,8.93,"1,773",피터 손,알수없음,"불, 물, 공기, 흙 4개의 원소들이 살고 있는 ‘엘리멘트 시티’ 재치 있고 불처럼 열정 넘치는 ‘앰버'는 어느 날 우연히 유쾌하고 감성적이며 물 흐르듯 사는 '웨이드'를 만나 특별한 우정을 쌓으며, 지금껏 믿어온 모든 것들이 흔들리는 새로운 경험을 하게 되는데... 웰컴 투 ‘엘리멘트 시티’!",['피터 손'],[],"['엘리', '멘탈']","['불', '물', '공기', '흙', '4', '개', '의', '원소', '들', '이', '살', '고', '있는', '엘리', '멘트', '시티', '재치', '있고', '불', '처럼', '열정', '넘치는', '앰버', '는', '어느', '날', '우연히', '유쾌하고', '감성', '적', '이며', '물', '흐르듯', '사는', '웨', '이드를', '만나', '특별한', '우정', '을', '쌓으며', '지금껏', '믿어', '온', '모든', '것', '들', '이', '흔들리는', '새로운', '경험', '을', '하게', '되는데', '웰컴', '투', '엘리', '멘트', '시티']"
8,공조2: 인터내셔날,"6,983,077","2,389","275,817",2022-09-07,"액션,코미디",한국,15세이상관람가,129,7.92,"2,167",이석훈,"현빈,유해진,임윤아,다니엘 헤니,진선규,장영남,박훈,임성재,윤상화,박민하,전국환,전배수,이해영,서동원,이승훈,이제연,박형수,이민지,박종환,송영근,김중희,최동구,설찬미,서동복,박진수,김경식,변경록,정의순,이동용,남성준,김태수,우정국,김성인,전민,김태향,유비,우석준,현직,김관모,주재후,류경환,신욱,김선희,박광렬,황두하,전종석,신영훈,김병오,박재홍,임세인,김철윤,장현진,함태인,김진우,정윤하,강덕중,최미라,한은수,황인덕,정성인,명채미,최유지,추정훈,김원해,조달환","공조 이즈 백! 이번엔 삼각 공조다! 남한으로 숨어든 글로벌 범죄 조직을 잡기 위해 새로운 공조 수사에 투입된 북한 형사 ‘림철령’(현빈). 수사 중의 실수로 사이버수사대로 전출됐던 남한 형사 ‘강진태’(유해진)는 광수대 복귀를 위해 모두가 기피하는 ‘철령’의 파트너를 자청한다. 이렇게 다시 공조하게 된 ‘철령’과 ‘진태’! ‘철령’과 재회한 ‘민영’(임윤아)의 마음도 불타오르는 가운데, ‘철령’과 ‘진태’는 여전히 서로의 속내를 의심하면서도 나름 그럴싸한 공조 수사를 펼친다. 드디어 범죄 조직 리더인 ‘장명준’(진선규)의 은신처를 찾아내려는 찰나, 미국에서 날아온 FBI 소속 ‘잭’(다니엘 헤니)이 그들 앞에 나타나는데…! 아직도 짠내 나는 남한 형사, 여전한 엘리트 북한 형사, 그리고 FBI 소속 해외파 형사까지! 각자의 목적으로 뭉친 그들의 짜릿한 공조 수사가 시작된다!",['이석훈'],"['현빈', '유해진', '임윤아', '다니엘 헤니', '진선규', '장영남', '박훈', '임성재', '윤상화', '박민하', '전국환', '전배수', '이해영', '서동원', '이승훈', '이제연', '박형수', '이민지', '박종환', '송영근', '김중희', '최동구', '설찬미', '서동복', '박진수', '김경식', '변경록', '정의순', '이동용', '남성준', '김태수', '우정국', '김성인', '전민', '김태향', '유비', '우석준', '현직', '김관모', '주재후', '류경환', '신욱', '김선희', '박광렬', '황두하', '전종석', '신영훈', '김병오', '박재홍', '임세인', '김철윤', '장현진', '함태인', '김진우', '정윤하', '강덕중', '최미라', '한은수', '황인덕', '정성인', '명채미', '최유지', '추정훈', '김원해', '조달환']","['공조', '2', '인터', '내셔', '날']","['공조', '이즈', '백', '이번', '엔', '삼각', '공조', '다', '남한', '으로', '숨어든', '글로벌', '범죄', '조직', '을', '잡기', '위해', '새로운', '공조', '수사', '에', '투입', '된', '북한', '형사', '림', '철령', '현빈', '수사', '중', '의', '실수', '로', '사이버수사대', '로', '전출', '됐던', '남한', '형사', '강', '진태', '유해진', '는', '광수', '대', '복귀', '를', '위해', '모두', '가', '기피', '하는', '철령', '의', '파트너', '를', '자청', '한다', '이렇게', '다시', '공조', '하게', '된', '철령', '과', '진태', '철령', '과', '재회', '한', '민영', '임윤아', '의', '마음', '도', '불타', '오르는', '가운데', '철령', '과', '진태', '는', '여전히', '서로', '의', '속', '내', '를', '의심', '하면서도', '나름', '그럴', '싸한', '공조', '수사', '를', '펼친다', '드디어', '범죄', '조직', '리더', '인', '장', '명', '준', '진선규', '의', '은신', '처', '를', '찾아내려는', '찰나', '미국', '에서', '날아온', 'FBI', '소속', '잭', '다니엘', '헤니이', '그', '들', '앞', '에', '나타나는데', '아직도', '짠내', '나', '는', '남한', '형사', '여전한', '엘리트', '북한', '형사', '그리고', 'FBI', '소속', '해외', '파', '형사', '까지', '각자', '의', '목적', '으로', '뭉친', '그', '들', '의', '짜릿한', '공조', '수사', '가', '시작', '된다']"
9,닥터 스트레인지: 대혼돈의 멀티버스,"5,884,587","2,691","211,097",2022-05-04,"액션,어드벤처,판타지",미국,12세이상관람가,126,7.75,"3,697",샘 레이미,"베네딕트 컴버배치,엘리자베스 올슨,베네딕트 웡,레이첼 맥아담스,치웨텔 에지오포,소치틀 고메즈","끝없이 균열되는 차원과 뒤엉킨 시공간의 멀티버스가 열리며 오랜 동료들, 그리고 차원을 넘어 들어온 새로운 존재들을 맞닥뜨리게 된 ‘닥터 스트레인지’. 대혼돈 속, 그는 예상치 못한 극한의 적과 맞서 싸워야만 하는데….",['샘 레이미'],"['베네딕트 컴버배치', '엘리자베스 올슨', '베네딕트 웡', '레이첼 맥아담스', '치웨텔 에지오포', '소치틀 고메즈']","['닥터', '스트레', '인지', '대', '혼돈', '의', '멀티버스']","['끝없이', '균열', '되는', '차원', '과', '뒤엉킨', '시공간', '의', '멀티버스', '가', '열리며', '오랜', '동료', '들', '그리고', '차원', '을', '넘어', '들어온', '새로운', '존재', '들', '을', '맞닥뜨리', '게', '된', '닥터', '스트레', '인지', '대', '혼돈', '속', '그', '는', '예', '상치', '못', '한', '극한', '의', '적', '과', '맞서', '싸워야만', '하는데']"
10,밀수,"5,143,219","1,932","167,669",2023-07-26,액션,한국,15세이상관람가,129,7.97,"1,806",류승완,"김혜수,염정아,조인성,박정민,김종수,고민시,김재화,박준면,박경혜,주보비,곽진석,정도원,신민재,김충길,이정수,안세호,최종원,김원해,김경덕,윤병희,김기천,윤종구,신영옥,홍성오,김준식,이상희,신삼봉,구본웅,백주희,전현숙,이선희,이진희,신우희,백승철,윤대열,이태형,정재원,장기하,진경,윤경호","열길 물속은 알아도 한길 사람 속은 모른다! 평화롭던 바닷가 마을 군천에 화학 공장이 들어서면서 하루아침에 일자리를 잃은 해녀들. 먹고 살기 위한 방법을 찾던 승부사 '춘자'(김혜수)는 바다 속에 던진 물건을 건져 올리기만 하면 큰돈을 벌 수 있다는 밀수의 세계를 알게 되고 해녀들의 리더 '진숙'(염정아)에게 솔깃한 제안을 한다. 위험한 일임을 알면서도 생계를 위해 과감히 결단을 내린 해녀 '진숙'은 전국구 밀수왕 '권 상사'를 만나게 되면서 확 커진 밀수판에 본격적으로 빠지게 된다. 그러던 어느 날, 일확천금을 얻을 수 있는 일생일대의 기회가 찾아오고 사람들은 서로를 속고 속이며 거대한 밀수판 속으로 휩쓸려 들어가기 시작하는데... 물길을 아는 자가 돈길의 주인이 된다!",['류승완'],"['김혜수', '염정아', '조인성', '박정민', '김종수', '고민시', '김재화', '박준면', '박경혜', '주보비', '곽진석', '정도원', '신민재', '김충길', '이정수', '안세호', '최종원', '김원해', '김경덕', '윤병희', '김기천', '윤종구', '신영옥', '홍성오', '김준식', '이상희', '신삼봉', '구본웅', '백주희', '전현숙', '이선희', '이진희', '신우희', '백승철', '윤대열', '이태형', '정재원', '장기하', '진경', '윤경호']",['밀수'],"['열길', '물속', '은', '알아도', '한길', '사람', '속', '은', '모른다', '평화롭던', '바닷가', '마을', '군', '천', '에', '화학', '공장', '이', '들어서면서', '하루아침', '에', '일자리', '를', '잃은', '해녀', '들', '먹고', '살기', '위', '한', '방법', '을', '찾던', '승부사', '춘자', '김혜수', '는', '바다', '속', '에', '던진', '물건', '을', '건져', '올리기만', '하면', '큰', '돈', '을', '벌', '수', '있다는', '밀수', '의', '세계', '를', '알', '게', '되고', '해녀', '들', '의', '리더', '진숙', '염정아', '에게', '솔깃한', '제안', '을', '한다', '위험한', '일임', '을', '알면서도', '생계', '를', '위해', '과', '감히', '결단', '을', '내린', '해녀', '진숙', '은', '전국구', '밀수', '왕', '권', '상사', '를', '만나게', '되면서', '확', '커진', '밀수', '판', '에', '본격', '적', '으로', '빠지게', '된다', '그러던', '어느', '날', '일확천금', '을', '얻을', '수', '있는', '일', '생일', '대', '의', '기회', '가', '찾아오고', '사람', '들', '은', '서로', '를', '속', '고', '속', '이며', '거대한', '밀수', '판', '속', '으로', '휩쓸려', '들어가기', '시작', '하는데', '물길', '을', '아는', '자가', '돈길', '의', '주인', '이', '된다']"
